Displacement,Force
0.0008632264072677996,282979.5271820983
0.0008732264072677996,275758.1906779763
0.0008832264072677996,268769.24064682866
0.0008932264072677997,262002.93084728267
0.0009032264072677997,255339.81365072515
0.0009132264072677997,249000.6039228679
0.0009232264072677998,242961.9233775421
0.0009332264072677998,236895.77212160078
0.0009432264072677998,231126.61307989003
0.0009532264072677998,225640.59594026505
0.0009632264072677999,220101.5649028567
0.0009732264072677999,214841.8964452114
0.0009832264072677998,209854.4960644587
0.0009932264072677998,204776.68499535037
0.0010032264072677999,200379.5669459865
0.0010132264072677999,195426.72934064345
0.0010232264072678,190729.92173048068
0.0010332264072678,186187.3496207744
0.0010432264072678,182055.41914014608
0.0010532264072678,177439.41449102867
0.0010632264072678,172935.30378753043
0.0010732264072678,168949.10340352048
0.0010832264072678,164678.94408046585
